Gene	Trait	CellType	Tissue
ACVR2A:AKT3:ATXN1:BPTF:CADM2:CALM1:CDH12:CDH13:CDH9:CKAP5:CTNNA3:CYFIP2:DCC:ENAH:ERBB4:EXOC4:GRIN2B:GRM5:INPP4B:MEF2A:MSRA:MTMR9:NCAM1:NCOR1:NRXN1:NRXN3:NSF:NTRK2:PAFAH1B1:PCDH9:PDE4B:PRKCA:PRKD1:PTPRJ:PTPRN2:RASA1:RBFOX1:RERE:SEMA6D:SORCS3:SOX5:SYT1:TCF4:TNKS:USP34	Neuroticism_Baselmans_2019	In1b	DER22
ACVR1B:ACVR2A:ADK:AKT3:ANKS1B:ATP1B1:ATXN1:BPTF:CACNA1E:CADM2:CALM1:CDH13:CDH9:CKAP5:DCC:DNM3:ENAH:ERBB4:EXOC4:FBXL17:FHIT:GNAO1:GRIN2B:GRM5:KCNB1:KLC1:LRRC7:MAP1LC3A:MAPK1:MEF2A:MEF2C:MTCH2:NCAM1:NCKAP1:NCOR1:NRXN1:NSF:NTRK2:PBRM1:PCDH9:PDE4B:PRKCA:PRKD1:PTPRJ:PTPRN2:RABGAP1L:RBFOX1:RERE:RGS6:SEMA6D:SNAP25:SNCA:SOBP:SORCS3:SOX5:SYT1:TCF4:TNKS:USP34:ZBTB18:ZBTB20	Neuroticism_Baselmans_2019	In1c	DER22
ACVR1B:ACVR2A:AHI1:AKT3:CADM2:CDH13:CDH9:DCC:EHBP1:ERBB4:GNAO1:GRM5:MEF2A:NCAM1:NCOR1:NSF:NTRK2:PCDH9:PPP2R2B:PRKCA:PTPRJ:RBFOX1:RERE:RGS6:SOBP:SOX5:TCF4	Neuroticism_Baselmans_2019	In3	DER22
AHI1:AKT3:ANKS1B:ATP1B1:ATP2A2:ATXN1:ATXN2:AUTS2:B3GLCT:BPTF:BRAF:CADM2:CALM1:CDH13:CDH9:CELF4:CKAP5:CKB:CNTN1:CNTNAP2:CTNND1:DCC:ELAVL2:ELP4:ERBB4:EXOC4:EXT1:GNAO1:GRIA2:GRIN2B:GRM5:HCN1:HIVEP3:HSPA5:INPP4B:KCNB1:KCNC2:KIRREL3:LRRC7:MAPK1:MBD5:MEF2A:MSRA:MTMR9:NCAM1:NCOR1:NSF:PCDH9:PPP2R2B:PRKCA:PTPRJ:PTPRN2:RBFOX1:RERE:RGS6:SEMA6D:SIPA1L1:SLC12A5:SORCS3:SOX5:STAG1:TCF4:TERF1:TNRC6A	Neuroticism_Baselmans_2019	In4a	DER22
AHI1:AQR:ATP1B1:CACNA1E:CADM2:CALM1:CDH13:CDH9:CELF4:CTTNBP2:DCC:DLGAP2:ELAVL2:ERBB4:EXOC4:FHIT:GGT7:GRIN2B:GRM5:KCNB1:KIRREL3:KLC1:LRRC7:MEF2A:MEF2C:NCAM1:NCOR1:NME7:NOS1:NRXN1:NSF:NT5C2:NTRK2:PCDH9:PPP2R2B:PRKCA:PRKD1:PTPRJ:PTPRT:RALYL:RBFOX1:REEP5:RERE:SEMA6D:SF3B1:SGCZ:SIPA1L1:SLC12A5:SNCA:SOX5:STRN3:SYT1:TCF4:UNC13C:USP34:ZMYND8	Neuroticism_Baselmans_2019	In4b	DER22
AHI1:AKT3:CADM2:CALM1:CDH12:CDH9:CKAP5:CTNNA3:DAB1:DCC:EHBP1:ELAVL2:ERBB4:EXOC4:FHIT:GNAO1:GRIN2B:GRM5:HCN1:MAPK1:MBNL1:MBNL2:MEF2A:NCAM1:NME7:NTRK2:PAFAH1B1:PCDH9:PPP2R2B:PRKCA:PTPRN2:RBFOX1:RERE:SIPA1L1:SLC25A12:SOX5:TCF4:TNKS:USP34	Neuroticism_Baselmans_2019	In6a	DER22
ACVR1B:ACVR2A:AHI1:AKT3:ATXN1:BRAF:CADM2:CALM1:CDH13:CDH9:CKAP5:CKB:DCC:EHBP1:ELAVL2:ERBB4:ESRRG:FHIT:GRM5:MAPK1:MBD5:MEF2A:MEF2C:MFHAS1:MTMR9:NCAM1:NCOR1:NSF:NT5C2:NTRK2:PAM:PCDH9:PPP2R2B:PRKCA:PRKD1:PTPRJ:PTPRN2:RBFOX1:RERE:SIPA1L1:SOX5:SOX6:STAG1:STRBP:TCF4:TERF1:TFCP2:UCHL1:USP34	Neuroticism_Baselmans_2019	In6b	DER22
CADM2:CALM1:CDH12:CDH9:ELAVL2:ERBB4:GRM5:MEF2A:NCAM1:NTRK2:PCDH9:PPP2R2B:RBFOX1:RERE:SOX5:SOX6:TCF4	Neuroticism_Baselmans_2019	In7	DER22
CADM2:CALM1:CDH13:CDH9:CELF4:DCC:ELAVL2:ERBB4:GRM5:MEF2A:NCAM1:NCOR1:PCDH9:PDE4B:PIK3R1:PLCH1:PPP2R2B:RASA1:RBFOX1:RERE:SOX6:TCF4:TFCP2:USP34	Neuroticism_Baselmans_2019	In8	DER22
AHI1:AKT3:ANKS1B:ATXN1:CADM2:CALM1:CDH10:CDH12:CDH13:CDH9:CELF1:CELF2:CTNNA3:CTSB:DCAF5:DCC:DDX17:DDX6:DISC1:DTNA:EIF4G3:ELMO1:EPB41L2:ERBB4:FNBP4:FOXP1:GGT7:GNAO1:GPBP1L1:GPM6A:GRIA1:GRM5:GSK3B:LRRC7:MARK3:MBNL1:MBNL2:MEF2A:MEF2C:NCAM1:NME7:NOL4:NRXN1:NTRK2:PCDH9:PDE4B:PIK3R1:PKP4:PPP2R2B:PRKCA:RBFOX1:RBM6:RERE:RGS12:SDCCAG8:SIPA1L1:SLC12A5:SNCA:SOX5:STAG1:SYT1:TCF4:TENM2:TFCP2:USP34:VMP1:ZBTB20	Neuroticism_Baselmans_2019	Microglia	DER22
AATK:AGAP1:AKT3:ATP1B1:BPTF:CADM2:CALM1:CDH13:DCC:DDX17:DDX6:ERBB4:FANCL:FNBP4:GNAO1:GRM3:IP6K1:LRRC7:MBNL1:MBNL2:MEF2A:NCAM1:NCOR1:PCDH9:PIP5K1A:PPP2R2B:PPP3CA:RBFOX1:RERE:SIPA1L1:SLC12A5:TCF4:TFCP2:TNKS:USP34	Neuroticism_Baselmans_2019	Oligo	DER22
ACACA:ADGRB3:AHI1:APP:ATP1B1:ATXN1:BPTF:BRAF:CACNA1E:CADM2:CALM1:CDH13:CFTR:CTNNA3:DAB1:DCC:DDX17:DISC1:DNM3:EHBP1:EIF4G3:ELMO1:ERBB4:ESRRG:FGFR1:GGT7:GNAO1:GRM5:LRRC7:LRRTM3:MAP1LC3A:MBD5:MBNL1:MBNL2:MEF2A:MSRA:MTCH2:NCAM1:NCOR1:NRXN1:NSF:NTRK2:NUP160:PAFAH1B1:PBRM1:PCDH9:PDE4B:PHF21A:PPP2R2B:PRKCA:PRKD1:PTN:PTPRS:PTPRZ1:RABGAP1L:RBFOX1:RERE:RFTN2:RGS6:SBF2:SGCZ:SIPA1L1:SOX5:SOX6:STAG1:SYT1:TCF4:TNKS:UCHL1:USP34:VMP1:ZBTB20:ZEB2:ZFPM2	Neuroticism_Baselmans_2019	OPC	DER22
AKT3:APP:ATXN1:BAIAP2:BPTF:CADM2:CDH12:CKAP5:CTNNA3:DAB1:DCC:DTNA:EHBP1:EP300:EPB41L2:ERBB4:EXOC4:GNAI2:GNAO1:GRIN2B:GRM3:GRM5:GRM8:HP1BP3:HSPA1A:JUN:KCNIP4:KLF7:KTN1:LRRC7:MAPK1:MAPK10:MBNL1:MBNL2:MEF2A:MEF2C:MSRA:NCAM1:NCOR1:NR4A1:NRXN1:NTRK2:PCDH9:PPP2R2B:PRKCA:PRKD1:PTPRN2:RBFOX1:RCAN2:RERE:RGS6:ROBO2:SLC7A11:SNCA:SOX5:STAG1:SYT1:TCF4:TENM2:TSPAN5:UTRN:YWHAE:ZDHHC21	Neuroticism_Baselmans_2019	Per	DER22
AKAP6:DLG2:DLGAP1:DPYSL2:GPM6A:GRIA2:GRID2:GRIN2A:GSK3B:ITSN1:LSAMP:PBX1:PDE4D:PRNP:RIMS2:RTN1:TNRC6A:TOM1L2	Obsessive-Compulsive-Disorder_Arnold_2017	In1a	DER22
ADAM17:CACNA2D3:CALM3:CAMK4:CLASP2:DLG1:DMD:EVI5:FNBP1:PDZRN4:PRKCB:SETX:SYT1:YWHAG	Pancreatic-Cancer_Amundadottir_2009	Ex2	DER22
ACTR2:AGFG1:CALM3:CAMK4:CLASP2:CUL1:DLG1:DMD:MEF2A:NCALD:NDRG3:PPIG:PPP2CB:PRKCB:SYT1:SYT11:YWHAG	Pancreatic-Cancer_Amundadottir_2009	Ex3e	DER22
ADAM17:AKT3:APC:ATXN1:CALM3:CAMK4:CLASP2:DLG1:DMD:EFNA5:MEF2A:MYCBP2:PBX1:PDZRN4:PNISR:PRKCB:SYT1:YWHAG:ZNF385B	Pancreatic-Cancer_Amundadottir_2009	Ex4	DER22
AKT3:APC:CALM3:CAMK4:CLASP2:CSMD3:DLG1:DMD:EVI5:MAX:MYCBP2:PDZRN4:PNISR:PRKCB:SYT1:YWHAG	Pancreatic-Cancer_Amundadottir_2009	Ex6a	DER22
ADAM17:AKT3:ATXN1:CACNA2D3:CALM3:CAMK4:CLASP2:DGKZ:DLG1:DMD:EFNA5:MEF2A:MYCBP2:NCALD:NCOR1:PBX1:PDZRN4:PLPPR4:PRKCB:RAPGEF4:SYT1:YWHAG	Pancreatic-Cancer_Amundadottir_2009	Ex6b	DER22
ADAM17:APC:CACNA2D3:DLG1:DMD:EFNA5:FNBP1:GGT7:MEF2A:PBX1:PDZRN4:PNISR:PRKCB:SYNJ1:SYNJ2:SYT1:ZNF385B	Pancreatic-Cancer_Amundadottir_2009	Ex8	DER22
ATXN1:CALD1:CLASP2:DLG1:DMD:EVI5:FNBP1:PRKCB:SYNJ2:SYT1:SYT11:YWHAG	Pancreatic-Cancer_Amundadottir_2009	Oligo	DER22
ACTR2:CACNA1B:DLG2:DOC2A:GRIA2:HOMER1:KCNQ5:MAP1B:MAPT:NSF:PRKACB:RYR2:SNCA:STX1A:STXBP1	Parkinsons_Pankratz_2012	Ex1	DER22
AKAP6:ATXN1:DLG2:GRIA2:HOMER1:KCNQ5:MAP1B:MAPT:NSF:PIK3R1:R3HDM1:RYR2:SNCA:STX1A:STXBP1:UCHL1	Parkinsons_Pankratz_2012	Ex2	DER22
ACTR2:AK5:AKT3:ANK2:ANXA6:APP:ATP6V0E2:ATXN1:BASP1:DLG2:DNM1:ENO2:ENSA:FBXW7:GABARAPL1:GABBR2:GRIA2:KCNQ5:MAP1B:MAPT:NEFL:NSF:PAK1:PIK3CA:PIK3R1:PKM:PLCB1:R3HDM1:RAP2A:RYR2:SLC8A1:SNAP91:SNCA:SPTAN1:STXBP1:TPI1:UCHL1:VDAC3	Parkinsons_Pankratz_2012	Ex3e	DER22
ACTR2:AKAP6:AKT3:ATXN1:CACNA1B:DLG2:DOC2A:FBXW7:GRIA2:MAP1B:MAPT:NSF:PIK3R1:PTK2:R3HDM1:RASAL2:RYR2:SH3GL2:SNCA:STX1A:STX1B:STXBP1:UCHL1	Parkinsons_Pankratz_2012	Ex4	DER22
ACTR2:AGAP1:AKAP6:AKT3:ATXN1:DLG2:DOC2A:GRIA2:KCNQ5:MAP1B:MAPT:NSF:PIK3R1:PTK2:R3HDM1:RASAL2:RYR2:SESTD1:SH3GL2:SNCA:SORBS1:STX1A:STX1B:STXBP1:TRPC4AP:UCHL1	Parkinsons_Pankratz_2012	Ex5b	DER22
ACTR2:DLG2:GRIA2:MAP1B:MAPT:NSF:PTK2:RYR2:SESTD1:SH3GL2:SLC8A1:SNCA:STX1A:STXBP1:UCHL1	Parkinsons_Pankratz_2012	Ex6b	DER22
AKAP6:DLG2:GRIA2:HOMER1:KCNQ5:MAP1B:MAPT:NSF:PIK3R1:RYR2:SNCA:SORBS1:STX1A:STXBP1:UCHL1	Parkinsons_Pankratz_2012	Ex8	DER22
ACTR2:AK5:ANK2:ATP6V0E2:ATP6V1B2:ATXN1:CAMK2A:CLASP2:CPLX1:DNAJA1:DNAJC6:DNM1:DYRK1A:ENO2:ENSA:FBXW7:GABBR2:GRIA2:KCNQ5:MAP1B:MAPK3:MAPT:NEFL:NSF:NUCKS1:PAK1:PHYHIP:PIK3R1:PKM:PLCB1:PPP2R2C:PRKACB:RAB1B:RAP2A:RUNDC3A:SLC8A1:SNCA:SRPK2:STX1A:STXBP1:SV2A:SYT4:TMA7:TPI1:UCHL1	Parkinsons_Pankratz_2012	Ex9	DER22
ALK:CACNA1B:DAAM1:DAB1:DLG2:GRIA2:KCNQ5:MAP1B:MAPT:MYL6:NSF:PIK3CA:SLC2A13:SNCA:STXBP1:TCF12:UCHL1	Parkinsons_Pankratz_2012	In1a	DER22
ARHGEF12:CACNA1B:DAB1:DLG2:GRIA2:MAP1B:MAPT:NSF:SNCA:STXBP1:UCHL1	Parkinsons_Pankratz_2012	In1c	DER22
AKAP6:CACNA1B:CLASP2:CLIP1:CPLX1:DLG2:DYRK1A:GRIA2:KLF12:MAP1B:MAPT:NSF:PDE4D:PKM:RORA:SIPA1L1:STXBP1:SYNE1:UCHL1	Parkinsons_Pankratz_2012	In6a	DER22
ANK2:CLASP2:CPLX1:DLG2:GRIA2:MAP1B:MAPT:NSF:PRNP:RYR2:SRPK2:SRSF7:STXBP1	Parkinsons_Pankratz_2012	In6b	DER22
CLASP2:CPLX1:DAB1:DLG2:GRIA2:KCNQ5:MAP1B:MAPT:NSF:RYR2:SRPK2:SRSF7:STXBP1:UCHL1	Parkinsons_Pankratz_2012	In7	DER22
CACNA1C:CACNA1D:CACNB2:CAMK2B:DDX17:ERC2:NPAS2:PPFIA2:PTPRD:RBFOX1:RBM5:RGS6:RORA:RYR2:THRB	Resting-heart-rate_Zhu_2019	Ex1	DER22
CACNA1C:CACNA1D:CACNB2:CAMK2G:DDX17:ERC2:NPAS2:PPFIA2:PTPRD:RBFOX1:RBM5:RGS6:RORA:RYR2	Resting-heart-rate_Zhu_2019	Ex5b	DER22
CACNA1C:CACNA1D:DDX17:ERC2:PPFIA2:PTPRD:RBM5:RYR2	Resting-heart-rate_Zhu_2019	Ex6a	DER22
ANK3:ARHGAP32:CACNA1C:CACNA1D:CACNB2:CDH2:CEP85L:DDX17:ERC2:HNRNPD:ITSN1:KCNQ5:NEGR1:NR3C1:PPFIA2:PRKDC:PTPRD:RBFOX1:RBM5:RGS6:RORA:RYR2:SGIP1:SOX5:THRB:ZFPM2	Resting-heart-rate_Zhu_2019	Ex6b	DER22
ANK3:BSN:CACNA1C:CACNA1D:CACNB2:DDX17:ERC2:ESRRG:PPFIA2:PRKDC:PTPRD:RBM5:RYR2:SOX5:THRB	Resting-heart-rate_Zhu_2019	Ex8	DER22
ARHGAP26:CACNA1C:CACNA1D:CACNB2:DDX17:ERC2:HNRNPD:LINGO2:MEF2A:NCOA2:NFAT5:NPAS2:OBSL1:PPFIA2:PTPRD:RBFOX1:RGS6:RORA:THRB	Resting-heart-rate_Zhu_2019	In3	DER22
ANK3:CACNA1C:CACNA1D:CADM2:CAMK2G:CUX1:DDX17:DLG2:ERBB4:ERC2:ESRRG:MICAL2:NEGR1:PPARGC1A:PPFIA2:PTPRD:PTPRS:RBFOX1:RYR2:SOX5:TCF4:THRB	Resting-heart-rate_Zhu_2019	In6b	DER22
ARHGAP26:CACNA1C:CACNB2:CADM2:CALD1:DDX17:MACF1:NR3C1:NRXN1:PPFIA2:PRKG1:PTPRD:RBFOX1:RGS6:RORA:RYR2:SOX5:TCF4:TTN:ZBTB20:ZFPM2	Resting-heart-rate_Zhu_2019	Per	DER22
ADGRB3:AKT3:ANK3:ANKS1B:ATP2A2:CACNA1A:CACNA1C:CACNB2:CREB1:DLG1:DLG2:DMTF1:DST:EFNA5:ERBB4:FGFR1:FOXP1:GPHN:KAT2B:LRP1:LRP1B:MACF1:MAGI2:MSI2:NAV2:NCAM1:NRXN1:PCDH7:PHF21A:PLCG1:PRKD1:PSD3:PTPRG:RBFOX1:RFTN2:RORA:SGCD:SOX5:SOX6:SREBF1:SRPK2:SYT1:TCF4	Schizophrenia_Pardinas_2018	Astro	DER22
ABCB1:AKT3:ANK3:ANKS1B:CACNA1C:CACNB2:CALD1:CALM3:DACH1:DST:ERBB4:FOXP1:HSPA1A:MACF1:MAPK1:MAPK3:MARK3:MEF2C:NRGN:NRXN1:NRXN3:PLCL1:PPP3CA:PRKCB:PTPRG:QKI:RBFOX1:RBM26:RERE:RORA:SF3B1:SNAP25:SRPK2:SRSF2:STAG1:TCF4:ZEB2	Schizophrenia_Pardinas_2018	Endo	DER22
AKT3:ANK3:ANKS1B:ASAP1:ATP2A2:ATP2B2:BIN1:CABP1:CACNA1A:CACNA1C:CACNB2:CALM3:CTDSPL:DLG2:FOXP1:GPHN:GPM6A:GRIN2A:HCN1:HECW2:KALRN:KCNQ5:LRP1B:MACF1:MAPT:MEF2C:NRG3:NRGN:NRXN1:NTRK3:OLFM3:PCDH7:PDE4D:PPP3CA:PRKCB:PRKD1:PSD3:PTK2B:PTPRG:RBFOX1:RERE:RGS6:RORA:SATB2:SGCD:SLC8A1:SOX5:SYT1:TCF4	Schizophrenia_Pardinas_2018	Ex1	DER22
AKT3:ANK3:ANKS1B:ATP2A2:CACNA1C:CACNB2:DLG2:DST:FOXP1:GPHN:GPM6A:GRIN2A:HCN1:KCNQ5:MACF1:MAPT:NRXN1:OLFM3:PCDH7:PRKCB:PTK2B:RBFOX1:RERE:RORA:SATB2:SGCD:SLC8A1:SOX5:SRPK2:SYT1:TCF4:ZEB1	Schizophrenia_Pardinas_2018	Ex2	DER22
AKT3:ANK3:ANKS1B:ATP2A2:ATP2B2:CACNA1C:CACNB2:CALM1:CALM3:DLG2:DST:ERBB4:FOXP1:GPM6A:HCN1:KCNQ5:KLC1:MACF1:MAPT:NCAM1:NRGN:NRXN1:OPCML:PIP4K2B:PRKCB:RBFOX1:SLC8A1:SNAP25:SNAP91:SOX5:SRPK2:SYNE1:TCF4:TUBB:YPEL3:YWHAE	Schizophrenia_Pardinas_2018	Ex3e	DER22
AKT3:ANK3:ANKS1B:ATP2A2:ATP2B2:CACNA1C:CACNB2:CALM3:CDC42:CLIP1:DCC:DLG1:DLG2:DLG4:DST:FOXO3:FOXP1:GPM6A:GRIN2A:HCN1:IL1RAPL1:KCNQ5:KLC1:KTN1:LRP1B:MACF1:MAP1A:MAPK1:MAPT:MAX:MEF2C:NRGN:NRXN1:OLFM3:PCDH7:PDE4D:PPP2R2B:PPP3CA:PRKCB:RBFOX1:RERE:RGS6:RORA:SATB2:SLC8A1:SNAP25:SOX5:SRPK2:SYT1:TCF4:YWHAE:ZMAT4	Schizophrenia_Pardinas_2018	Ex4	DER22
AKT3:ANK3:ANKS1B:CACNA1C:CACNB2:CALM3:CAMK1D:CUX1:DLG2:FOXO3:FOXP1:GPM6A:GRIN2A:HCN1:HECW2:IL1RAPL1:KCNQ5:LRP1B:MACF1:MAPT:MARK3:MEF2C:NRGN:NRXN1:NRXN3:OLFM3:PCDH7:PRKCB:PRKD1:RBFOX1:RERE:RGS6:RORA:SATB2:SLC8A1:SNAP25:SOX5:SRPK2:SYT1:TCF4:ZEB1:ZSWIM6	Schizophrenia_Pardinas_2018	Ex5b	DER22
AKT3:ANK3:ANKS1B:ARHGAP44:BCL11B:CACNA1C:CACNB2:CHD2:ELAVL4:FGFR1:FOXP1:GRIN2A:HCN1:HECW2:HSPA9:KTN1:LRP1B:MACF1:MAX:NRXN1:OLFM3:OPCML:PCDH7:PRKCB:RBFOX1:RERE:RGS6:RORA:RTN1:SATB2:SDK1:SGCD:SLC8A1:SOX5:SRPK2:TCF4:TLE4:ZSWIM6	Schizophrenia_Pardinas_2018	Ex6a	DER22
AKT3:ANK3:ANKS1B:ASAP1:ATP2A2:ATP2B2:CACNA1C:CACNA2D3:CACNB2:CLIP1:CUX1:DLG1:DST:FGF12:FOXO3:FOXP1:GPM6A:GRIN2A:HCN1:HECW2:IL1RAPL1:KCNQ5:KLC1:MACF1:MEF2C:NCAM1:NRGN:NRXN1:NRXN3:OPCML:PCDH7:POU2F1:PRKCB:PRKD1:RBFOX1:RERE:RGS6:RORA:SLC8A1:SNAP25:SOX5:SPAG9:SRPK2:TCF4:TLE4:YWHAE:ZSWIM6	Schizophrenia_Pardinas_2018	Ex6b	DER22
AKT3:ANK3:ANKS1B:ARHGAP44:ATP2A2:BRAF:CACNA1C:CACNB2:CALM3:CAMK1D:CUX1:DGKI:DGKZ:DLG2:DST:FGF12:FOXP1:GPHN:GPM6A:HCN1:JMJD1C:KCNQ5:LRP1B:MACF1:MAPK1:MAPK10:MAPT:MARK3:MEF2C:NCAM1:NRCAM:NRG3:NRGN:NRXN1:NRXN3:NTRK3:OLFM3:OPCML:PLCL1:PPP2R2B:PRKCB:PRKD1:PTPRN2:RBFOX1:RERE:RORA:SATB2:SEMA6D:SGCD:SLC8A1:SNAP25:SOBP:SOX5:SRPK2:SYNPR:TCF4:THRB:ZEB2:ZNF365	Schizophrenia_Pardinas_2018	Ex8	DER22
AKT3:ATP2A2:ATP2B2:CACNB2:CALM3:DLG4:FOXP1:GPM6A:KLC1:MAPT:NCAM1:NRGN:OPCML:PRKCB:RBFOX1:SLC8A1:TCF4:TUBB:YWHAE	Schizophrenia_Pardinas_2018	Ex9	DER22
AKT3:ANK3:ANKS1B:ATP2A2:ATP2B2:CACNA1C:CACNB2:DLG2:DST:EGFR:ERBB4:FOXO3:FOXP1:FXR1:GIGYF2:GNG7:GRIN2A:IL1RAPL1:KCNQ5:LRP1:MACF1:MAGI2:MAPK1:MAX:MMP16:NFE2L1:NRXN1:PCDH7:PRKD1:PTPRF:RBFOX1:RERE:RORA:SEMA6D:SEZ6L2:SGCD:SIPA1L1:SLC8A1:SNAP91:SRPK2:STAG1:TCF4:THRB:ZEB2	Schizophrenia_Pardinas_2018	In1a	DER22
AKT3:ANK3:ANKS1B:ATP2A2:ATP2B2:BRAF:CACNA1A:CACNA1C:CACNB2:CALM3:CAMK2B:CHRM3:CNTN4:CREB1:DLG1:DLG2:DMTF1:DST:EGFR:ERBB4:FOXO3:FOXP1:GIGYF2:GRIN2A:GRIP1:HCN1:IL1RAPL1:INPP4B:KALRN:KCNQ5:KLC1:LRP1:MACF1:MAGI2:MAPK1:MEF2C:MMP16:NALCN:NCAM1:NKAIN2:NRXN1:OPCML:PCDH7:PIP5K1B:PITPNM2:PPP2R2B:PRKCB:PRKD1:PTPRN2:RBFOX1:RERE:RGS6:RIMS1:RORA:SDCCAG8:SEMA6D:SIPA1L1:SIPA1L3:SLC8A1:SNAP25:SNAP91:SNX19:SOX5:SPAG9:SREBF2:SRPK2:SRSF2:STAG1:SYNE1:SYT1:TCF4:THRB:TUBB:YWHAE:ZEB2:ZMAT4	Schizophrenia_Pardinas_2018	In1b	DER22
AKT3:ANK3:ANKS1B:ATF6B:ATXN7:CACNA1A:CACNA1C:CACNB2:CADPS:CAMK2B:CCDC85B:CLIP1:CUL3:DLG1:DLG2:ERBB4:FOXO3:FOXP1:GNG7:GRIN2A:GRIN2B:HCN1:HSPA9:IL1RAPL1:KALRN:LRP1:LRRC7:MACF1:MAGI2:MAPK1:MARK3:MAX:MEF2C:NCAM1:NRXN1:OPCML:PCDH7:PPP1R13B:PRKCB:PRKD1:PTPRF:RBFOX1:RERE:RGS6:RORA:SDCCAG8:SEMA6D:SGCD:SOX5:SRPK2:SRSF2:STAG1:TCF4:THRB:ZEB2	Schizophrenia_Pardinas_2018	In1c	DER22
AKT3:ANK3:ANKS1B:ARHGAP44:ATF6B:ATP2A2:ATXN7:CACNA1C:CACNB2:CAMK2B:CUX1:DLG1:DLG2:ERBB4:FOXO3:FOXP1:GNG7:GPM6A:GRIN2A:IL1RAPL1:KALRN:LRP1:LRRC7:MAGI2:MAPK1:MARK3:MAX:MEF2C:NCAM1:NTRK3:OPCML:PCDH7:PRKCB:PRKD1:RBFOX1:RERE:RGS6:RORA:SLC8A1:SOX5:SREBF2:SRPK2:STAG1:TCF4:ZEB2:ZMAT4	Schizophrenia_Pardinas_2018	In3	DER22
AKT3:ANKS1B:ATF6B:BCL11B:CACNA1C:CACNB2:CALM3:CAMK2B:DLG1:DST:EGFR:ERBB4:FOXO3:GRIN2A:HCN1:IL1RAPL1:INPP4B:KCNQ5:KLC1:LRRC7:MACF1:MAGI2:MAPK1:MDGA2:NFE2L1:NRXN1:PIK3C2A:PIP5K1B:PITPNM2:PRKCB:QKI:RBFOX1:RERE:RORA:SEMA6D:SLC8A1:SNAP91:SOX5:SREBF2:TCF4:THRB:TUBB:ZEB2	Schizophrenia_Pardinas_2018	In4a	DER22
AKT3:ANK3:ANKS1B:ATP2A2:B3GALT2:BACH2:BCL11B:CACNA1C:CACNB2:CALM3:CHD2:CUTA:ERBB4:FOXO3:FOXP1:GRIN2A:IL1RAPL1:KCNQ5:KLC1:KTN1:LRRC7:MACF1:NRXN1:PRKD1:QKI:RBFOX1:RERE:RORA:SDCCAG8:SEMA6D:SGCD:SLC8A1:SRPK2:SRSF2:SYT1:TCF4:ZEB2:ZMAT4	Schizophrenia_Pardinas_2018	In4b	DER22
AKT3:ANK3:ANKS1B:BACH2:BAG4:BCL11B:CACNB2:CHD2:CKB:CLIP1:CNTN4:CUTA:DMTF1:ERBB4:FOXO3:GABBR1:GIGYF2:HCN1:HSPA9:IL1RAPL1:KTN1:LRP1B:MACF1:MAGI2:MARK3:MEF2C:NRXN1:NTM:NTRK3:OLFM3:OPCML:PCDH7:PLPP5:PPP1R13B:PRKCE:PRKD1:PSIP1:RBFOX1:RERE:RGS6:RORA:SDCCAG8:SGCD:SIPA1L3:SOX5:SRPK2:SRSF2:STAG1:TCF4:TIAM1:ZEB2	Schizophrenia_Pardinas_2018	In6a	DER22
AKT3:ANKS1B:CACNA1C:CACNB2:CHD2:CUX1:DLG1:DLG2:DMTF1:ERBB4:FOXP1:GNG7:GPM6A:GRIN2A:HCN1:LRP1:MACF1:MAGI2:OPCML:PCDH7:POU2F1:PRKD1:RBFOX1:RERE:RORA:SDCCAG8:SLC8A1:SRSF2:STAG1:TCF4:ZEB2	Schizophrenia_Pardinas_2018	In6b	DER22
AKT3:ANK3:ANKS1B:ARHGAP44:ATP2A2:ATP2B2:BCL11B:CACNA1A:CACNA1C:CACNB2:CCDC92:CHRM3:CUX1:DLG2:DST:ERBB4:FOXO3:GIGYF2:GPM6A:GRIN2A:HCN1:IL1RAPL1:KCNQ5:LRP1B:LRRC7:MACF1:MAGI2:MAPK1:MARK3:MEF2C:NCAM1:NFE2L1:NRG3:NRXN1:OPCML:PCDH7:PRKCB:PTPRN2:RBFOX1:RERE:RGS6:RORA:SIPA1L1:SLC8A1:SNAP91:SOX5:SYT1:TCF4:THRB:ZEB2	Schizophrenia_Pardinas_2018	In7	DER22
AKT3:ANK3:ANKS1B:CACNA1A:CACNA1C:CACNB2:CCDC92:CUX1:ERBB4:FOXO3:FOXP1:GIGYF2:GPM6A:HCN1:IL1RAPL1:KALRN:KLC1:MACF1:MAGI2:MEF2C:NRXN1:NRXN3:PCDH7:QKI:RBFOX1:RERE:RGS6:RORA:SIPA1L1:SLC8A1:SRPK2:STAG1:SYT1:TCF4:ZEB2	Schizophrenia_Pardinas_2018	In8	DER22
